"","PLOT","REP","INSTN","NTP","LB1","LB2","LB3","LB4","LB5","LB6","LB7","LB8","AUDPC","rAUDPC","SAUDPC"
"1","1","1","CIP395011.2",10,0,1,1,5,20,35,45,70,995.5,0.191442307692308,1.7
"2","2","1","CIP393385.39",10,0,0,0,1,8,45,70,80,1148,0.220769230769231,1.9
"3","3","1","CIP392634.49",10,0,0,0,1,3,10,20,40,378,0.0726923076923077,0.6
"4","4","1","CIP393077.159",10,0,1,1,1,2,8,15,30,302.5,0.0581730769230769,0.5
"5","5","1","Cooperation88",10,0,4,5,25,30,50,75,90,1644,0.316153846153846,2.8
"6","6","1","CIP304387.39",10,0,55,95,100,100,100,100,100,4282.5,0.823557692307692,7.2
"7","7","1","CIP381381.9",10,0,20,40,55,60,80,95,100,2830,0.544230769230769,4.8
"8","8","1","CIP398208.620",10,0,0,0,0,0,5,20,40,315,0.0605769230769231,0.5
"9","9","1","CIP395123.6",10,0,0,0,0,0,1,3,10,63,0.0121153846153846,0.1
"10","10","1","CIP397055.2",10,0,50,80,100,100,100,100,100,4135,0.795192307692308,7
"11","11","1","CIP395017.14",10,0,0,0,0,0,2,3,15,87.5,0.0168269230769231,0.1
"12","12","1","CIP398098.203",10,0,0,0,0,0,2,2,20,98,0.0188461538461538,0.2
"13","13","1","CIP399085.30",10,0,1,2,2,3,3,3,10,134.5,0.0258653846153846,0.2
"14","14","1","CIP301055.53",10,0,5,20,50,55,75,85,95,2370,0.455769230769231,4
"15","15","1","CIP387164.4",10,0,0,0,1,1,2,5,20,133,0.0255769230769231,0.2
"16","16","1","CIP398190.200",10,0,0,0,0,0,1,5,20,112,0.0215384615384615,0.2
"17","17","1","CIP391011.17",10,0,0,0,1,1,10,15,35,311.5,0.0599038461538462,0.5
"18","18","1","CIP398193.158",10,3,1,3,20,25,35,65,75,1322,0.254230769230769,2.2
"19","19","1","CIP397006.18",10,0,80,100,100,100,100,100,100,4530,0.871153846153846,7.6
"20","20","1","CIP399049.14",10,0,25,25,10,10,15,15,20,807.5,0.155288461538462,1.4
"21","21","1","CIP391583.25",10,0,0,0,0,5,10,20,50,420,0.0807692307692308,0.7
"22","22","1","CIP390637.1",10,1,10,25,55,70,85,95,100,2750,0.528846153846154,4.6
"23","23","1","CIP394904.20",10,0,0,1,1,1,8,25,70,497,0.0955769230769231,0.8
"24","24","1","CIP398098.65",10,0,40,50,55,60,60,70,85,2702.5,0.519711538461539,4.5
"25","25","1","CIP398098.570",10,0,0,1,3,10,55,70,90,1288,0.247692307692308,2.2
"26","26","1","CIP394899.5",10,0,0,1,1,15,70,85,95,1536.5,0.295480769230769,2.6
"27","27","1","CIP300055.32",10,0,0,1,1,30,80,93,95,1767.5,0.339903846153846,3
"28","28","1","CIP397065.2",10,2,50,60,90,95,98,100,100,3886,0.747307692307692,6.5
"29","29","1","CIP301024.95",10,0,0,1,10,15,25,40,70,882,0.169615384615385,1.5
"30","30","1","CIP393083.2",10,0,0,0,0,1,10,18,40,343,0.0659615384615385,0.6
"31","31","1","CIP398208.33",10,0,15,20,60,65,80,100,100,2752.5,0.529326923076923,4.6
"32","32","1","CIP391047.34",10,0,0,1,3,3,10,25,50,469,0.0901923076923077,0.8
"33","33","1","CIP395111.13",10,0,0,0,0,0,0,0,0,0,0,0
"34","34","1","CIP300054.29",10,5,80,100,100,100,100,100,100,4555,0.875961538461538,7.7
"35","35","1","CIP398180.144",10,0,2,2,5,20,72,85,95,1637.5,0.314903846153846,2.8
"36","36","1","CIP391004.18",10,0,15,15,60,60,60,70,85,2280,0.438461538461538,3.8
"37","37","1","CIP391207.2",10,0,30,60,90,95,100,100,100,3720,0.715384615384615,6.3
"38","38","1","CIP398192.553",10,0,1,1,1,5,10,25,45,460,0.0884615384615385,0.8
"39","39","1","CIP395096.2",10,0,1,1,1,5,10,40,70,652.5,0.125480769230769,1.1
"40","40","1","CIP395037.107",10,0,3,2,3,5,8,10,35,344,0.0661538461538462,0.6
"41","41","1","CIP397079.6",10,0,50,55,95,95,98,100,100,3876,0.745384615384615,6.5
"42","42","1","CIP397079.26",10,1,15,15,30,35,60,93,98,2106.5,0.405096153846154,3.5
"43","43","1","CIP395448.1",10,0,0,1,1,1,3,10,25,199.5,0.0383653846153846,0.3
"44","44","1","CIP395017.229",10,0,0,0,0,1,2,5,20,126,0.0242307692307692,0.2
"45","45","1","CIP300066.11",10,1,40,60,95,95,100,100,100,3845,0.739423076923077,6.5
"46","46","1","CIP395112.19",10,0,3,5,5,5,8,8,20,312.5,0.0600961538461538,0.5
"47","47","1","CIP397067.2",10,0,95,100,100,100,100,100,100,4657.5,0.895673076923077,7.8
"48","48","1","CIP397077.16",10,0,85,95,99,100,100,100,100,4530.5,0.87125,7.6
"49","49","1","CIP392821.1",10,0,0,1,1,10,60,85,95,1431.5,0.275288461538462,2.4
"50","50","1","CIP385499.11",10,0,50,90,100,100,100,100,100,4205,0.808653846153846,7.1
"51","51","1","CIP396023.109",10,0,0,0,0,1,5,40,70,567,0.109038461538462,1
"52","52","1","CIP393615.6",10,0,10,15,55,60,75,85,90,2430,0.467307692307692,4.1
"53","53","1","CIP396004.225",10,0,10,25,75,85,88,95,100,3011,0.579038461538462,5.1
"54","54","1","CIP301044.36",10,0,5,35,65,75,93,100,100,2968.5,0.570865384615385,5
"55","55","1","CIP393280.64",10,0,1,20,20,20,25,25,60,988.5,0.190096153846154,1.7
"56","56","1","CIP391065.81",10,0,0,0,0,1,20,50,65,724.5,0.139326923076923,1.2
"57","57","1","CIP399053.11",10,0,1,1,1,1,3,3,5,89,0.0171153846153846,0.1
"58","58","1","CIP398208.219",10,0,15,25,70,70,80,95,100,2857.5,0.549519230769231,4.8
"59","59","1","CIP304350.95",10,40,100,100,100,100,100,100,100,4900,0.942307692307692,8.2
"60","60","1","CIP394900.1",10,0,95,100,100,100,100,100,100,4657.5,0.895673076923077,7.8
"61","61","1","CIP374080.5",10,0,0,1,2,2,2,5,25,171.5,0.0329807692307692,0.3
"62","62","1","CIP399072.28",10,0,0,0,0,0,0,5,15,87.5,0.0168269230769231,0.1
"63","63","1","CIP300101.11",10,0,80,90,90,95,98,100,100,4341,0.834807692307692,7.3
"64","64","1","CIP393613.2",10,0,80,90,90,95,98,100,100,4341,0.834807692307692,7.3
"65","65","1","CIP398192.592",10,0,1,1,5,10,40,60,80,1100.5,0.211634615384615,1.9
"66","66","1","CIP300048.12",10,0,85,100,100,100,100,100,100,4572.5,0.879326923076923,7.7
"67","67","1","CIP395436.8",10,0,10,15,70,80,90,100,100,2920,0.561538461538462,4.9
"68","68","1","CIP396009.258",10,0,10,10,10,15,35,60,75,1257.5,0.241826923076923,2.1
"69","69","1","CIP396180.22",10,0,80,85,85,90,95,100,100,4215,0.810576923076923,7.1
"70","70","1","CIP396063.1",10,0,0,0,0,1,8,38,60,539,0.103653846153846,0.9
"71","71","1","CIP393349.68",10,0,0,0,0,1,8,38,60,539,0.103653846153846,0.9
"72","72","1","CIP398180.612",10,0,0,0,0,1,8,25,50,413,0.0794230769230769,0.7
"73","73","1","CIP399083.4",10,0,10,10,10,10,12,15,50,659,0.126730769230769,1.1
"74","74","1","CIP394600.52",10,0,8,10,30,50,75,90,100,2203,0.423653846153846,3.7
"75","75","1","CIP399049.16",10,0,3,5,5,5,5,5,5,218,0.0419230769230769,0.4
"76","76","1","CIP304366.46",10,0,15,20,65,65,65,70,95,2455,0.472115384615385,4.1
"77","77","1","CIP393382.44",10,0,5,15,30,40,65,85,95,2020,0.388461538461538,3.4
"78","78","1","CIP392637.10",10,0,0,5,5,5,25,35,60,735,0.141346153846154,1.2
"79","79","1","CIP398098.231",10,0,0,1,1,5,20,60,70,854,0.164230769230769,1.4
"80","80","1","CIP399075.32",10,0,0,0,0,0,2,10,25,171.5,0.0329807692307692,0.3
